Teams,Borda Points
alabama-crimson-tide,1469
clemson-tigers,1443
oklahoma-sooners,1352
florida-state-seminoles,1326
lsu-tigers,1270
ohio-state-buckeyes,1226
michigan-wolverines,1148
stanford-cardinal,1032
tennessee-volunteers,1025
notre-dame-fighting-irish,1010
ole-miss-rebels,734
michigan-state-spartans,720
tcu-horned-frogs,719
washington-huskies,668
houston-cougars,660
ucla-bruins,521
louisville-cardinals,476
georgia-bulldogs,466
usc-trojans,368
oklahoma-state-cowboys,354
north-carolina-tar-heels,320
baylor-bears,304
oregon-ducks,246
florida-gators,202
miami-fl-hurricanes,175
texas-am-aggies,92
utah-utes,86
washington-state-cougars,82
boise-state-broncos,57
san-diego-state-aztecs,55
wisconsin-badgers,46
auburn-tigers,24
pittsburgh-panthers,20
arkansas-razorbacks,19
texas-longhorns,16
nebraska-cornhuskers,13
navy-midshipmen,9
northwestern-wildcats,6
western-kentucky-hilltoppers,6
toledo-rockets,3
south-florida-bulls,2
