Teams,Borda Points
alabama-crimson-tide,1510
ohio-state-buckeyes,1442
louisville-cardinals,1406
michigan-wolverines,1277
clemson-tigers,1258
houston-cougars,1245
stanford-cardinal,1195
michigan-state-spartans,1084
washington-huskies,1040
texas-am-aggies,890
wisconsin-badgers,828
georgia-bulldogs,726
florida-state-seminoles,722
tennessee-volunteers,707
miami-fl-hurricanes,565
baylor-bears,529
arkansas-razorbacks,528
lsu-tigers,517
florida-gators,480
nebraska-cornhuskers,420
texas-longhorns,197
san-diego-state-aztecs,184
ole-miss-rebels,173
utah-utes,155
oklahoma-sooners,139
tcu-horned-frogs,132
north-dakota-state-bison,75
ucla-bruins,75
boise-state-broncos,69
iowa-hawkeyes,48
california-golden-bears,45
oklahoma-state-cowboys,42
notre-dame-fighting-irish,32
oregon-ducks,23
north-carolina-tar-heels,17
georgia-tech-yellow-jackets,17
south-florida-bulls,7
western-michigan-broncos,6
toledo-rockets,6
arizona-state-sun-devils,3
maryland-terrapins,3
virginia-tech-hokies,1
