Teams,Borda Points
alabama-crimson-tide,1511
ohio-state-buckeyes,1440
louisville-cardinals,1409
michigan-wolverines,1292
clemson-tigers,1267
houston-cougars,1239
stanford-cardinal,1166
wisconsin-badgers,1084
texas-am-aggies,1036
washington-huskies,986
tennessee-volunteers,909
florida-state-seminoles,805
baylor-bears,729
miami-fl-hurricanes,696
nebraska-cornhuskers,640
ole-miss-rebels,542
michigan-state-spartans,528
utah-utes,496
san-diego-state-aztecs,306
arkansas-razorbacks,247
tcu-horned-frogs,244
texas-longhorns,219
florida-gators,182
boise-state-broncos,164
georgia-bulldogs,144
arizona-state-sun-devils,137
oklahoma-sooners,121
west-virginia-mountaineers,51
virginia-tech-hokies,39
colorado-buffaloes,33
iowa-hawkeyes,27
north-carolina-tar-heels,26
ucla-bruins,22
auburn-tigers,19
lsu-tigers,17
western-michigan-broncos,14
wake-forest-demon-deacons,9
memphis-tigers,6
maryland-terrapins,2
toledo-rockets,1
