Teams,Borda Points
alabama-crimson-tide,1521
miami-fl-hurricanes,1438
oklahoma-sooners,1367
clemson-tigers,1358
wisconsin-badgers,1322
auburn-tigers,1199
georgia-bulldogs,1151
ohio-state-buckeyes,1036
notre-dame-fighting-irish,1002
oklahoma-state-cowboys,900
tcu-horned-frogs,876
usc-trojans,868
penn-state-nittany-lions,819
ucf-knights,807
washington-state-cougars,622
washington-huskies,583
mississippi-state-bulldogs,506
memphis-tigers,445
michigan-wolverines,332
stanford-cardinal,312
lsu-tigers,298
michigan-state-spartans,275
west-virginia-mountaineers,243
north-carolina-state-wolfpack,198
virginia-tech-hokies,118
northwestern-wildcats,83
arizona-wildcats,53
iowa-state-cyclones,30
boise-state-broncos,10
georgia-tech-yellow-jackets,6
army-west-point-black-knights,4
south-carolina-gamecocks,3
iowa-hawkeyes,2
