Teams,Borda Points
alabama-crimson-tide,1522
miami-fl-hurricanes,1433
oklahoma-sooners,1370
clemson-tigers,1355
wisconsin-badgers,1328
auburn-tigers,1203
georgia-bulldogs,1157
ohio-state-buckeyes,1064
notre-dame-fighting-irish,1023
tcu-horned-frogs,906
usc-trojans,891
penn-state-nittany-lions,888
ucf-knights,833
washington-state-cougars,698
washington-huskies,618
mississippi-state-bulldogs,578
memphis-tigers,503
oklahoma-state-cowboys,434
lsu-tigers,423
stanford-cardinal,417
michigan-state-spartans,383
south-florida-bulls,265
virginia-tech-hokies,158
boise-state-broncos,129
michigan-wolverines,64
iowa-state-cyclones,54
south-carolina-gamecocks,39
san-diego-state-aztecs,11
wake-forest-demon-deacons,9
north-carolina-state-wolfpack,9
texas-am-aggies,2
fresno-state-bulldogs,2
