Teams,Borda Points
clemson-tigers,1506
oklahoma-sooners,1474
georgia-bulldogs,1409
alabama-crimson-tide,1307
ohio-state-buckeyes,1300
wisconsin-badgers,1162
auburn-tigers,1123
usc-trojans,1104
penn-state-nittany-lions,1011
ucf-knights,996
miami-fl-hurricanes,955
washington-huskies,850
notre-dame-fighting-irish,685
stanford-cardinal,684
lsu-tigers,655
oklahoma-state-cowboys,604
michigan-state-spartans,544
memphis-tigers,533
northwestern-wildcats,457
washington-state-cougars,400
virginia-tech-hokies,384
south-florida-bulls,152
mississippi-state-bulldogs,143
boise-state-broncos,95
north-carolina-state-wolfpack,81
san-diego-state-aztecs,55
toledo-rockets,35
louisville-cardinals,16
florida-atlantic-owls,15
michigan-wolverines,11
fresno-state-bulldogs,10
missouri-tigers,4
troy-trojans,2
kansas-state-wildcats,2
