Teams,Borda Points
alabama-crimson-tide,1521
georgia-bulldogs,1454
oklahoma-sooners,1374
clemson-tigers,1292
ohio-state-buckeyes,1286
ucf-knights,1248
wisconsin-badgers,1194
penn-state-nittany-lions,1120
tcu-horned-frogs,974
auburn-tigers,917
notre-dame-fighting-irish,857
usc-trojans,839
miami-fl-hurricanes,769
oklahoma-state-cowboys,758
michigan-state-spartans,705
washington-huskies,668
northwestern-wildcats,530
lsu-tigers,386
mississippi-state-bulldogs,371
stanford-cardinal,351
south-florida-bulls,288
boise-state-broncos,270
virginia-tech-hokies,147
memphis-tigers,138
washington-state-cougars,92
south-carolina-gamecocks,56
army-west-point-black-knights,45
iowa-state-cyclones,43
florida-atlantic-owls,42
troy-trojans,18
fresno-state-bulldogs,15
iowa-hawkeyes,3
san-diego-state-aztecs,3
