Teams,Borda Points
alabama-crimson-tide,1524
ohio-state-buckeyes,1445
clemson-tigers,1317
penn-state-nittany-lions,1303
oklahoma-sooners,1253
usc-trojans,1225
washington-huskies,1084
michigan-wolverines,1052
wisconsin-badgers,980
florida-state-seminoles,977
oklahoma-state-cowboys,951
lsu-tigers,899
auburn-tigers,874
stanford-cardinal,773
georgia-bulldogs,687
miami-fl-hurricanes,540
louisville-cardinals,535
virginia-tech-hokies,495
kansas-state-wildcats,406
washington-state-cougars,224
south-florida-bulls,213
florida-gators,175
tcu-horned-frogs,162
tennessee-volunteers,130
utah-utes,99
ucla-bruins,85
west-virginia-mountaineers,77
colorado-buffaloes,70
maryland-terrapins,52
south-carolina-gamecocks,51
oregon-ducks,48
boise-state-broncos,22
northwestern-wildcats,20
houston-cougars,15
san-diego-state-aztecs,12
texas-tech-red-raiders,5
iowa-hawkeyes,4
kentucky-wildcats,4
vanderbilt-commodores,2
california-golden-bears,2
mississippi-state-bulldogs,1
pittsburgh-panthers,1
michigan-state-spartans,1
navy-midshipmen,1
nebraska-cornhuskers,1
