Teams,Borda Points
alabama-crimson-tide,1522
oklahoma-sooners,1447
clemson-tigers,1380
usc-trojans,1324
penn-state-nittany-lions,1299
washington-huskies,1124
michigan-wolverines,1107
ohio-state-buckeyes,1003
oklahoma-state-cowboys,1002
wisconsin-badgers,993
florida-state-seminoles,945
lsu-tigers,935
georgia-bulldogs,882
louisville-cardinals,659
auburn-tigers,594
virginia-tech-hokies,559
miami-fl-hurricanes,542
kansas-state-wildcats,475
stanford-cardinal,368
tcu-horned-frogs,356
washington-state-cougars,237
south-florida-bulls,189
tennessee-volunteers,164
florida-gators,149
ucla-bruins,123
utah-utes,103
south-carolina-gamecocks,74
west-virginia-mountaineers,64
oregon-ducks,63
maryland-terrapins,47
notre-dame-fighting-irish,31
san-diego-state-aztecs,19
houston-cougars,10
mississippi-state-bulldogs,4
vanderbilt-commodores,3
boise-state-broncos,3
texas-tech-red-raiders,3
iowa-hawkeyes,3
california-golden-bears,3
michigan-state-spartans,1
