Teams,Borda Points
alabama-crimson-tide,1504
clemson-tigers,1446
oklahoma-sooners,1432
penn-state-nittany-lions,1306
usc-trojans,1241
oklahoma-state-cowboys,1154
washington-huskies,1141
michigan-wolverines,1081
wisconsin-badgers,1031
ohio-state-buckeyes,1015
georgia-bulldogs,940
florida-state-seminoles,922
virginia-tech-hokies,730
miami-fl-hurricanes,607
auburn-tigers,597
tcu-horned-frogs,558
mississippi-state-bulldogs,535
washington-state-cougars,425
louisville-cardinals,361
florida-gators,313
south-florida-bulls,277
san-diego-state-aztecs,209
utah-utes,197
oregon-ducks,162
lsu-tigers,159
west-virginia-mountaineers,115
colorado-buffaloes,94
vanderbilt-commodores,88
notre-dame-fighting-irish,57
memphis-tigers,24
california-golden-bears,19
stanford-cardinal,16
kentucky-wildcats,12
kansas-state-wildcats,10
duke-blue-devils,10
tennessee-volunteers,6
texas-tech-red-raiders,4
iowa-hawkeyes,3
michigan-state-spartans,2
wake-forest-demon-deacons,2
houston-cougars,1
