Teams,Borda Points
alabama-crimson-tide,1525
penn-state-nittany-lions,1432
georgia-bulldogs,1417
tcu-horned-frogs,1322
wisconsin-badgers,1241
ohio-state-buckeyes,1184
clemson-tigers,1117
miami-fl-hurricanes,1109
oklahoma-sooners,1066
oklahoma-state-cowboys,906
usc-trojans,901
washington-huskies,821
notre-dame-fighting-irish,810
virginia-tech-hokies,746
north-carolina-state-wolfpack,605
south-florida-bulls,604
michigan-state-spartans,598
michigan-wolverines,588
ucf-knights,439
auburn-tigers,350
stanford-cardinal,326
west-virginia-mountaineers,206
lsu-tigers,136
memphis-tigers,92
san-diego-state-aztecs,76
texas-am-aggies,69
iowa-state-cyclones,25
virginia-cavaliers,15
kentucky-wildcats,11
utah-utes,6
mississippi-state-bulldogs,5
navy-midshipmen,3
south-carolina-gamecocks,3
iowa-hawkeyes,3
texas-tech-red-raiders,3
georgia-tech-yellow-jackets,2
florida-state-seminoles,2
marshall-thundering-herd,1
