Teams,Borda Points
alabama-crimson-tide,1525
clemson-tigers,1459
notre-dame-fighting-irish,1406
michigan-wolverines,1327
georgia-bulldogs,1288
oklahoma-sooners,1188
west-virginia-mountaineers,1111
washington-state-cougars,1052
ohio-state-buckeyes,1051
lsu-tigers,1019
ucf-knights,983
syracuse-orange,805
texas-longhorns,757
florida-gators,613
penn-state-nittany-lions,589
washington-huskies,545
iowa-state-cyclones,541
cincinnati-bearcats,392
kentucky-wildcats,384
utah-utes,354
boston-college-eagles,299
boise-state-broncos,186
army-west-point-black-knights,168
northwestern-wildcats,167
mississippi-state-bulldogs,155
uab-blazers,98
fresno-state-bulldogs,81
buffalo-bulls,41
michigan-state-spartans,38
north-carolina-state-wolfpack,37
pittsburgh-panthers,37
duke-blue-devils,24
texas-am-aggies,19
iowa-hawkeyes,9
arizona-state-sun-devils,8
stanford-cardinal,4
auburn-tigers,3
troy-trojans,2
