Teams,Borda Points
alabama-crimson-tide,1525
clemson-tigers,1458
notre-dame-fighting-irish,1409
georgia-bulldogs,1336
oklahoma-sooners,1266
ohio-state-buckeyes,1229
ucf-knights,1146
michigan-wolverines,1058
texas-longhorns,959
washington-huskies,897
florida-gators,876
washington-state-cougars,819
lsu-tigers,818
penn-state-nittany-lions,751
west-virginia-mountaineers,674
kentucky-wildcats,603
utah-utes,541
syracuse-orange,480
boise-state-broncos,410
mississippi-state-bulldogs,329
northwestern-wildcats,328
texas-am-aggies,289
army-west-point-black-knights,181
iowa-state-cyclones,120
utah-state-aggies,101
missouri-tigers,94
north-carolina-state-wolfpack,43
cincinnati-bearcats,36
stanford-cardinal,10
iowa-hawkeyes,4
appalachian-state-mountaineers,2
buffalo-bulls,2
oregon-ducks,1
