Teams,Borda Points
clemson-tigers,1525
alabama-crimson-tide,1462
ohio-state-buckeyes,1364
oklahoma-sooners,1356
notre-dame-fighting-irish,1286
lsu-tigers,1120
georgia-bulldogs,1104
florida-gators,1104
texas-longhorns,1077
washington-state-cougars,959
ucf-knights,898
kentucky-wildcats,822
washington-huskies,808
michigan-wolverines,747
syracuse-orange,684
texas-am-aggies,554
penn-state-nittany-lions,496
fresno-state-bulldogs,469
army-west-point-black-knights,427
west-virginia-mountaineers,305
northwestern-wildcats,297
boise-state-broncos,200
utah-state-aggies,198
iowa-hawkeyes,135
appalachian-state-mountaineers,106
stanford-cardinal,58
utah-utes,48
mississippi-state-bulldogs,48
uab-blazers,37
iowa-state-cyclones,28
auburn-tigers,19
oregon-ducks,15
missouri-tigers,10
georgia-southern-eagles,7
troy-trojans,7
oklahoma-state-cowboys,3
north-carolina-state-wolfpack,2
wisconsin-badgers,2
