Teams,Borda Points
clemson-tigers,1525
alabama-crimson-tide,1462
ohio-state-buckeyes,1364
oklahoma-sooners,1356
notre-dame-fighting-irish,1286
lsu-tigers,1119
georgia-bulldogs,1103
florida-gators,1103
texas-longhorns,1076
washington-state-cougars,959
ucf-knights,898
kentucky-wildcats,820
washington-huskies,806
michigan-wolverines,745
syracuse-orange,683
texas-am-aggies,553
penn-state-nittany-lions,492
fresno-state-bulldogs,466
army-west-point-black-knights,418
west-virginia-mountaineers,296
northwestern-wildcats,284
utah-state-aggies,188
boise-state-broncos,184
cincinnati-bearcats,171
iowa-hawkeyes,120
appalachian-state-mountaineers,96
stanford-cardinal,53
mississippi-state-bulldogs,45
utah-utes,43
uab-blazers,33
iowa-state-cyclones,26
auburn-tigers,15
oregon-ducks,11
missouri-tigers,10
troy-trojans,7
oklahoma-state-cowboys,3
north-carolina-state-wolfpack,2
wisconsin-badgers,2
