Teams,Borda Points
alabama-crimson-tide,1505
clemson-tigers,1476
georgia-bulldogs,1350
wisconsin-badgers,1271
ohio-state-buckeyes,1256
washington-huskies,1215
oklahoma-sooners,1173
miami-fl-hurricanes,1027
auburn-tigers,1013
penn-state-nittany-lions,1012
michigan-state-spartans,877
notre-dame-fighting-irish,804
stanford-cardinal,778
michigan-wolverines,773
usc-trojans,543
tcu-horned-frogs,533
west-virginia-mountaineers,511
mississippi-state-bulldogs,450
florida-state-seminoles,384
virginia-tech-hokies,351
ucf-knights,312
boise-state-broncos,292
texas-longhorns,216
oregon-ducks,148
lsu-tigers,106
south-carolina-gamecocks,96
florida-gators,68
utah-utes,60
oklahoma-state-cowboys,51
florida-atlantic-owls,38
arizona-wildcats,28
north-carolina-state-wolfpack,22
texas-am-aggies,21
boston-college-eagles,18
northwestern-wildcats,13
kansas-state-wildcats,10
iowa-state-cyclones,8
houston-cougars,6
memphis-tigers,3
troy-trojans,2
iowa-hawkeyes,2
kentucky-wildcats,1
fresno-state-bulldogs,1
