Teams,Borda Points
alabama-crimson-tide,1497
georgia-bulldogs,1403
ohio-state-buckeyes,1396
clemson-tigers,1311
notre-dame-fighting-irish,1293
west-virginia-mountaineers,1153
washington-huskies,1086
penn-state-nittany-lions,1079
texas-longhorns,937
ucf-knights,909
oklahoma-sooners,868
michigan-wolverines,859
lsu-tigers,780
florida-gators,704
wisconsin-badgers,701
miami-fl-hurricanes,586
oregon-ducks,503
kentucky-wildcats,479
colorado-buffaloes,407
north-carolina-state-wolfpack,333
auburn-tigers,331
texas-am-aggies,262
south-florida-bulls,147
mississippi-state-bulldogs,141
cincinnati-bearcats,116
iowa-hawkeyes,88
washington-state-cougars,42
san-diego-state-aztecs,26
tcu-horned-frogs,21
appalachian-state-mountaineers,13
utah-state-aggies,11
utah-utes,2
south-carolina-gamecocks,2
hawaii-warriors,1
