Teams,Borda Points
alabama-crimson-tide,1474
ohio-state-buckeyes,1409
clemson-tigers,1346
notre-dame-fighting-irish,1312
lsu-tigers,1203
michigan-wolverines,1122
texas-longhorns,1119
georgia-bulldogs,1066
oklahoma-sooners,997
florida-gators,937
oregon-ducks,926
west-virginia-mountaineers,732
kentucky-wildcats,708
washington-huskies,676
north-carolina-state-wolfpack,621
texas-am-aggies,591
penn-state-nittany-lions,559
iowa-hawkeyes,310
cincinnati-bearcats,286
south-florida-bulls,279
mississippi-state-bulldogs,273
wisconsin-badgers,258
michigan-state-spartans,215
washington-state-cougars,159
stanford-cardinal,76
san-diego-state-aztecs,75
appalachian-state-mountaineers,65
usc-trojans,64
colorado-buffaloes,62
utah-state-aggies,53
miami-fl-hurricanes,51
utah-utes,36
duke-blue-devils,22
texas-tech-red-raiders,13
fresno-state-bulldogs,11
houston-cougars,4
maryland-terrapins,3
virginia-cavaliers,3
