Teams,Borda Points
lsu-tigers,1479
alabama-crimson-tide,1472
ohio-state-buckeyes,1467
clemson-tigers,1406
penn-state-nittany-lions,1306
georgia-bulldogs,1223
utah-utes,1146
oklahoma-sooners,1098
florida-gators,998
baylor-bears,970
auburn-tigers,956
minnesota-golden-gophers,893
michigan-wolverines,842
notre-dame-fighting-irish,633
wisconsin-badgers,620
cincinnati-bearcats,589
iowa-hawkeyes,552
memphis-tigers,510
kansas-state-wildcats,425
boise-state-broncos,369
wake-forest-demon-deacons,354
southern-methodist-mustangs,309
san-diego-state-aztecs,127
navy-midshipmen,113
ucf-knights,70
texas-longhorns,48
indiana-hoosiers,41
texas-am-aggies,24
oklahoma-state-cowboys,16
louisiana-tech-bulldogs,11
appalachian-state-mountaineers,9
pittsburgh-panthers,3
washington-huskies,3
north-dakota-state-bison,2
virginia-cavaliers,2
iowa-state-cyclones,2
