Teams,Borda Points
lsu-tigers,1542
ohio-state-buckeyes,1480
clemson-tigers,1441
alabama-crimson-tide,1312
georgia-bulldogs,1267
oregon-ducks,1224
minnesota-golden-gophers,1164
utah-utes,1099
penn-state-nittany-lions,1003
oklahoma-sooners,1000
florida-gators,934
baylor-bears,932
auburn-tigers,871
michigan-wolverines,744
wisconsin-badgers,657
notre-dame-fighting-irish,594
cincinnati-bearcats,567
memphis-tigers,511
boise-state-broncos,374
southern-methodist-mustangs,347
navy-midshipmen,236
texas-longhorns,218
iowa-hawkeyes,205
appalachian-state-mountaineers,82
oklahoma-state-cowboys,79
kansas-state-wildcats,72
texas-am-aggies,45
wake-forest-demon-deacons,44
louisiana-tech-bulldogs,30
virginia-cavaliers,13
san-diego-state-aztecs,7
virginia-tech-hokies,5
iowa-state-cyclones,4
air-force-falcons,3
washington-huskies,3
pittsburgh-panthers,2
illinois-fighting-illini,2
ucf-knights,2
north-dakota-state-bison,1
usc-trojans,1
