Teams,Borda Points
lsu-tigers,1542
ohio-state-buckeyes,1480
clemson-tigers,1441
alabama-crimson-tide,1312
georgia-bulldogs,1267
oregon-ducks,1224
minnesota-golden-gophers,1164
utah-utes,1099
penn-state-nittany-lions,1003
oklahoma-sooners,1000
florida-gators,934
baylor-bears,932
auburn-tigers,871
michigan-wolverines,744
wisconsin-badgers,657
notre-dame-fighting-irish,595
cincinnati-bearcats,568
memphis-tigers,511
boise-state-broncos,379
southern-methodist-mustangs,357
texas-longhorns,233
iowa-hawkeyes,214
indiana-hoosiers,131
oklahoma-state-cowboys,89
appalachian-state-mountaineers,87
kansas-state-wildcats,83
texas-am-aggies,51
wake-forest-demon-deacons,46
louisiana-tech-bulldogs,32
virginia-cavaliers,13
san-diego-state-aztecs,8
virginia-tech-hokies,7
iowa-state-cyclones,4
air-force-falcons,3
washington-huskies,3
ucf-knights,3
pittsburgh-panthers,2
north-dakota-state-bison,2
illinois-fighting-illini,2
usc-trojans,1
