Teams,Borda Points
lsu-tigers,1542
ohio-state-buckeyes,1480
clemson-tigers,1441
alabama-crimson-tide,1312
georgia-bulldogs,1267
oregon-ducks,1224
minnesota-golden-gophers,1164
utah-utes,1099
penn-state-nittany-lions,1003
oklahoma-sooners,1000
florida-gators,934
baylor-bears,932
auburn-tigers,871
michigan-wolverines,744
wisconsin-badgers,657
notre-dame-fighting-irish,594
cincinnati-bearcats,567
memphis-tigers,512
boise-state-broncos,376
southern-methodist-mustangs,351
navy-midshipmen,234
texas-longhorns,205
iowa-hawkeyes,201
indiana-hoosiers,111
appalachian-state-mountaineers,77
kansas-state-wildcats,76
texas-am-aggies,45
wake-forest-demon-deacons,41
louisiana-tech-bulldogs,26
virginia-cavaliers,13
san-diego-state-aztecs,8
iowa-state-cyclones,5
virginia-tech-hokies,4
washington-huskies,3
pittsburgh-panthers,2
air-force-falcons,2
ucf-knights,2
north-dakota-state-bison,1
illinois-fighting-illini,1
usc-trojans,1
