Teams,Borda Points
clemson-tigers,1542
alabama-crimson-tide,1493
georgia-bulldogs,1407
oklahoma-sooners,1337
ohio-state-buckeyes,1270
lsu-tigers,1233
michigan-wolverines,1126
notre-dame-fighting-irish,1037
texas-longhorns,1032
auburn-tigers,958
florida-gators,942
texas-am-aggies,863
utah-utes,826
washington-huskies,768
penn-state-nittany-lions,691
oregon-ducks,577
wisconsin-badgers,526
ucf-knights,455
michigan-state-spartans,424
iowa-hawkeyes,369
washington-state-cougars,264
stanford-cardinal,224
boise-state-broncos,200
iowa-state-cyclones,100
nebraska-cornhuskers,96
virginia-cavaliers,82
tcu-horned-frogs,63
cincinnati-bearcats,58
mississippi-state-bulldogs,53
army-west-point-black-knights,38
miami-fl-hurricanes,11
oklahoma-state-cowboys,10
memphis-tigers,6
appalachian-state-mountaineers,6
arizona-state-sun-devils,4
minnesota-golden-gophers,3
usc-trojans,2
boston-college-eagles,2
north-carolina-tar-heels,2
