Teams,Borda Points
clemson-tigers,1544
alabama-crimson-tide,1489
georgia-bulldogs,1385
lsu-tigers,1336
oklahoma-sooners,1316
ohio-state-buckeyes,1293
notre-dame-fighting-irish,1099
florida-gators,1033
michigan-wolverines,978
utah-utes,949
texas-longhorns,926
penn-state-nittany-lions,837
wisconsin-badgers,772
oregon-ducks,739
texas-am-aggies,700
ucf-knights,606
michigan-state-spartans,553
iowa-hawkeyes,534
washington-state-cougars,400
maryland-terrapins,253
boise-state-broncos,209
washington-huskies,192
usc-trojans,173
virginia-cavaliers,154
iowa-state-cyclones,121
california-golden-bears,117
mississippi-state-bulldogs,91
tcu-horned-frogs,76
north-carolina-tar-heels,65
army-west-point-black-knights,56
colorado-buffaloes,31
oklahoma-state-cowboys,26
memphis-tigers,16
arizona-state-sun-devils,5
syracuse-orange,3
appalachian-state-mountaineers,3
boston-college-eagles,3
kentucky-wildcats,3
minnesota-golden-gophers,2
