Teams,Borda Points
clemson-tigers,1544
alabama-crimson-tide,1489
georgia-bulldogs,1385
lsu-tigers,1336
oklahoma-sooners,1315
ohio-state-buckeyes,1291
notre-dame-fighting-irish,1072
auburn-tigers,1056
florida-gators,997
michigan-wolverines,937
utah-utes,905
texas-longhorns,877
penn-state-nittany-lions,784
wisconsin-badgers,715
oregon-ducks,678
texas-am-aggies,644
ucf-knights,547
michigan-state-spartans,498
iowa-hawkeyes,478
washington-state-cougars,351
maryland-terrapins,213
washington-huskies,170
boise-state-broncos,170
usc-trojans,139
virginia-cavaliers,127
iowa-state-cyclones,99
mississippi-state-bulldogs,76
tcu-horned-frogs,67
north-carolina-tar-heels,51
army-west-point-black-knights,44
colorado-buffaloes,25
oklahoma-state-cowboys,20
memphis-tigers,14
arizona-state-sun-devils,4
appalachian-state-mountaineers,3
syracuse-orange,2
boston-college-eagles,2
kentucky-wildcats,2
minnesota-golden-gophers,1
