Teams,Borda Points
clemson-tigers,1545
alabama-crimson-tide,1488
georgia-bulldogs,1386
lsu-tigers,1339
oklahoma-sooners,1311
ohio-state-buckeyes,1293
notre-dame-fighting-irish,1112
auburn-tigers,1093
florida-gators,986
utah-utes,961
texas-longhorns,924
penn-state-nittany-lions,776
wisconsin-badgers,773
ucf-knights,752
oregon-ducks,721
texas-am-aggies,714
iowa-hawkeyes,593
washington-state-cougars,511
boise-state-broncos,332
virginia-cavaliers,310
washington-huskies,225
california-golden-bears,204
arizona-state-sun-devils,203
tcu-horned-frogs,127
kansas-state-wildcats,116
oklahoma-state-cowboys,73
army-west-point-black-knights,64
michigan-state-spartans,51
memphis-tigers,36
byu-cougars,19
wake-forest-demon-deacons,19
iowa-state-cyclones,11
temple-owls,10
mississippi-state-bulldogs,5
appalachian-state-mountaineers,3
minnesota-golden-gophers,2
