Teams,Borda Points
alabama-crimson-tide,1504
clemson-tigers,1437
georgia-bulldogs,1393
ohio-state-buckeyes,1393
lsu-tigers,1352
oklahoma-sooners,1272
florida-gators,1182
notre-dame-fighting-irish,1090
penn-state-nittany-lions,1012
texas-longhorns,1000
auburn-tigers,979
oregon-ducks,889
boise-state-broncos,715
utah-utes,686
michigan-wolverines,680
iowa-hawkeyes,516
arizona-state-sun-devils,447
wake-forest-demon-deacons,439
virginia-cavaliers,411
southern-methodist-mustangs,341
baylor-bears,313
memphis-tigers,233
texas-am-aggies,196
cincinnati-bearcats,151
minnesota-golden-gophers,104
appalachian-state-mountaineers,81
missouri-tigers,76
washington-huskies,71
tulane-green-wave,35
california-golden-bears,24
michigan-state-spartans,20
arizona-wildcats,15
ucf-knights,13
iowa-state-cyclones,7
usc-trojans,7
pittsburgh-panthers,4
