Teams,Borda Points
alabama-crimson-tide,1548
notre-dame-fighting-irish,1467
ohio-state-buckeyes,1445
clemson-tigers,1355
texas-am-aggies,1240
florida-gators,1222
cincinnati-bearcats,1198
byu-cougars,1094
indiana-hoosiers,997
wisconsin-badgers,950
oregon-ducks,949
miami-fl-hurricanes,940
georgia-bulldogs,824
oklahoma-state-cowboys,751
coastal-carolina-chanticleers,561
marshall-thundering-herd,561
iowa-state-cyclones,503
oklahoma-sooners,502
northwestern-wildcats,389
usc-trojans,386
liberty-flames,318
texas-longhorns,307
auburn-tigers,197
louisiana-lafayette-ragin-cajuns,188
north-carolina-tar-heels,109
southern-methodist-mustangs,27
utah-utes,17
washington-huskies,15
san-jose-state-spartans,10
arizona-state-sun-devils,9
appalachian-state-mountaineers,8
boise-state-broncos,6
iowa-hawkeyes,4
nevada-wolf-pack,3
buffalo-bulls,2
ucf-knights,1
