Teams,Borda Points
alabama-crimson-tide,1550
notre-dame-fighting-irish,1471
ohio-state-buckeyes,1440
clemson-tigers,1358
texas-am-aggies,1249
florida-gators,1223
cincinnati-bearcats,1201
byu-cougars,1109
oregon-ducks,951
miami-fl-hurricanes,936
northwestern-wildcats,922
indiana-hoosiers,899
georgia-bulldogs,828
oklahoma-sooners,693
iowa-state-cyclones,658
coastal-carolina-chanticleers,622
marshall-thundering-herd,542
wisconsin-badgers,540
usc-trojans,461
texas-longhorns,322
oklahoma-state-cowboys,290
auburn-tigers,259
louisiana-lafayette-ragin-cajuns,219
tulsa-golden-hurricane,164
north-carolina-tar-heels,108
washington-huskies,35
liberty-flames,32
nevada-wolf-pack,23
southern-methodist-mustangs,17
iowa-hawkeyes,15
boise-state-broncos,6
san-jose-state-spartans,3
buffalo-bulls,3
