Teams,Borda Points
alabama-crimson-tide,1550
notre-dame-fighting-irish,1482
ohio-state-buckeyes,1407
clemson-tigers,1387
texas-am-aggies,1274
florida-gators,1233
cincinnati-bearcats,1204
indiana-hoosiers,1047
miami-fl-hurricanes,1039
iowa-state-cyclones,947
coastal-carolina-chanticleers,923
georgia-bulldogs,914
oklahoma-sooners,837
byu-cougars,713
northwestern-wildcats,648
usc-trojans,625
louisiana-lafayette-ragin-cajuns,562
tulsa-golden-hurricane,447
iowa-hawkeyes,429
north-carolina-tar-heels,317
colorado-buffaloes,267
liberty-flames,203
texas-longhorns,172
wisconsin-badgers,120
north-carolina-state-wolfpack,113
san-jose-state-spartans,80
marshall-thundering-herd,72
oklahoma-state-cowboys,36
boise-state-broncos,12
ucf-knights,11
washington-huskies,10
auburn-tigers,9
missouri-tigers,8
nevada-wolf-pack,6
army-west-point-black-knights,2
tcu-horned-frogs,1
ucla-bruins,1
