Teams,Borda Points
alabama-crimson-tide,1550
notre-dame-fighting-irish,1482
ohio-state-buckeyes,1407
clemson-tigers,1387
texas-am-aggies,1274
florida-gators,1233
cincinnati-bearcats,1204
indiana-hoosiers,1047
miami-fl-hurricanes,1039
iowa-state-cyclones,947
coastal-carolina-chanticleers,923
georgia-bulldogs,914
oklahoma-sooners,837
byu-cougars,713
northwestern-wildcats,647
usc-trojans,625
louisiana-lafayette-ragin-cajuns,560
tulsa-golden-hurricane,445
iowa-hawkeyes,425
north-carolina-tar-heels,311
colorado-buffaloes,256
liberty-flames,198
texas-longhorns,167
buffalo-bulls,149
wisconsin-badgers,119
north-carolina-state-wolfpack,103
marshall-thundering-herd,68
oklahoma-state-cowboys,34
boise-state-broncos,11
ucf-knights,11
washington-huskies,10
auburn-tigers,9
missouri-tigers,8
nevada-wolf-pack,7
army-west-point-black-knights,2
tcu-horned-frogs,1
ucla-bruins,1
