Teams,Borda Points
alabama-crimson-tide,1550
notre-dame-fighting-irish,1482
ohio-state-buckeyes,1407
clemson-tigers,1387
texas-am-aggies,1274
florida-gators,1233
cincinnati-bearcats,1204
indiana-hoosiers,1047
miami-fl-hurricanes,1039
iowa-state-cyclones,948
coastal-carolina-chanticleers,927
georgia-bulldogs,915
oklahoma-sooners,840
byu-cougars,732
northwestern-wildcats,674
louisiana-lafayette-ragin-cajuns,604
tulsa-golden-hurricane,500
iowa-hawkeyes,478
north-carolina-tar-heels,361
colorado-buffaloes,297
liberty-flames,236
texas-longhorns,202
buffalo-bulls,185
wisconsin-badgers,142
north-carolina-state-wolfpack,133
san-jose-state-spartans,91
marshall-thundering-herd,83
oklahoma-state-cowboys,43
ucf-knights,14
washington-huskies,13
boise-state-broncos,12
missouri-tigers,11
auburn-tigers,10
nevada-wolf-pack,8
army-west-point-black-knights,3
tcu-horned-frogs,2
ucla-bruins,2
