Teams,Borda Points
alabama-crimson-tide,1550
notre-dame-fighting-irish,1482
ohio-state-buckeyes,1405
clemson-tigers,1388
texas-am-aggies,1286
cincinnati-bearcats,1248
indiana-hoosiers,1140
iowa-state-cyclones,1063
coastal-carolina-chanticleers,994
georgia-bulldogs,969
florida-gators,945
oklahoma-sooners,907
usc-trojans,786
byu-cougars,734
northwestern-wildcats,706
north-carolina-tar-heels,654
iowa-hawkeyes,540
miami-fl-hurricanes,499
tulsa-golden-hurricane,460
texas-longhorns,273
buffalo-bulls,234
liberty-flames,233
north-carolina-state-wolfpack,183
san-jose-state-spartans,168
oklahoma-state-cowboys,111
marshall-thundering-herd,61
boise-state-broncos,16
ucf-knights,14
army-west-point-black-knights,13
washington-huskies,11
auburn-tigers,8
tcu-horned-frogs,5
appalachian-state-mountaineers,2
