Teams,Borda Points
alabama-crimson-tide,1550
clemson-tigers,1482
ohio-state-buckeyes,1424
notre-dame-fighting-irish,1338
texas-am-aggies,1297
cincinnati-bearcats,1262
indiana-hoosiers,1123
oklahoma-sooners,1088
coastal-carolina-chanticleers,1024
florida-gators,1001
georgia-bulldogs,959
iowa-state-cyclones,845
byu-cougars,779
north-carolina-tar-heels,686
northwestern-wildcats,669
louisiana-lafayette-ragin-cajuns,643
iowa-hawkeyes,558
miami-fl-hurricanes,482
san-jose-state-spartans,386
texas-longhorns,308
usc-trojans,291
tulsa-golden-hurricane,290
north-carolina-state-wolfpack,204
oregon-ducks,141
oklahoma-state-cowboys,129
army-west-point-black-knights,50
ucf-knights,17
ball-state-cardinals,15
buffalo-bulls,15
marshall-thundering-herd,15
uab-blazers,9
washington-huskies,7
tcu-horned-frogs,5
north-dakota-state-bison,4
memphis-tigers,4
colorado-buffaloes,2
