Teams,Borda Points
alabama-crimson-tide,1525
ohio-state-buckeyes,1463
clemson-tigers,1378
texas-am-aggies,1324
notre-dame-fighting-irish,1279
oklahoma-sooners,1243
georgia-bulldogs,1144
cincinnati-bearcats,1074
iowa-state-cyclones,1035
northwestern-wildcats,893
byu-cougars,862
indiana-hoosiers,773
florida-gators,765
coastal-carolina-chanticleers,725
louisiana-lafayette-ragin-cajuns,665
iowa-hawkeyes,582
liberty-flames,579
north-carolina-tar-heels,534
texas-longhorns,487
oklahoma-state-cowboys,419
usc-trojans,313
miami-fl-hurricanes,297
san-jose-state-spartans,110
buffalo-bulls,74
appalachian-state-mountaineers,52
tulsa-golden-hurricane,43
army-west-point-black-knights,27
oregon-ducks,22
memphis-tigers,16
uab-blazers,14
tcu-horned-frogs,13
north-carolina-state-wolfpack,11
washington-huskies,11
nevada-wolf-pack,10
wisconsin-badgers,3
marshall-thundering-herd,2
west-virginia-mountaineers,2
