Teams,Borda Points
clemson-tigers,1520
ohio-state-buckeyes,1504
alabama-crimson-tide,1422
georgia-bulldogs,1270
oklahoma-sooners,1269
lsu-tigers,1186
penn-state-nittany-lions,1147
florida-gators,1125
oregon-ducks,1119
notre-dame-fighting-irish,995
auburn-tigers,852
wisconsin-badgers,840
texas-am-aggies,764
texas-longhorns,703
oklahoma-state-cowboys,672
michigan-wolverines,612
usc-trojans,535
north-carolina-tar-heels,497
minnesota-golden-gophers,452
cincinnati-bearcats,235
ucf-knights,231
utah-utes,212
iowa-state-cyclones,201
iowa-hawkeyes,135
tennessee-volunteers,135
memphis-tigers,88
virginia-tech-hokies,85
boise-state-broncos,69
arizona-state-sun-devils,67
miami-fl-hurricanes,43
louisville-cardinals,32
washington-huskies,21
indiana-hoosiers,20
kentucky-wildcats,20
baylor-bears,15
california-golden-bears,11
tcu-horned-frogs,9
virginia-cavaliers,7
navy-midshipmen,6
florida-state-seminoles,6
southern-methodist-mustangs,3
air-force-falcons,3
mississippi-state-bulldogs,3
northwestern-wildcats,1
uab-blazers,1
