Teams,Borda Points
clemson-tigers,1520
ohio-state-buckeyes,1504
alabama-crimson-tide,1422
georgia-bulldogs,1270
oklahoma-sooners,1269
lsu-tigers,1186
penn-state-nittany-lions,1147
florida-gators,1125
oregon-ducks,1119
notre-dame-fighting-irish,995
auburn-tigers,852
wisconsin-badgers,840
texas-am-aggies,764
texas-longhorns,703
oklahoma-state-cowboys,673
michigan-wolverines,612
usc-trojans,535
north-carolina-tar-heels,499
minnesota-golden-gophers,454
cincinnati-bearcats,243
ucf-knights,234
utah-utes,215
iowa-state-cyclones,206
iowa-hawkeyes,140
tennessee-volunteers,137
memphis-tigers,90
boise-state-broncos,69
arizona-state-sun-devils,68
miami-fl-hurricanes,43
louisville-cardinals,32
appalachian-state-mountaineers,28
washington-huskies,22
kentucky-wildcats,20
indiana-hoosiers,19
baylor-bears,15
california-golden-bears,12
tcu-horned-frogs,9
navy-midshipmen,7
virginia-cavaliers,7
florida-state-seminoles,6
southern-methodist-mustangs,3
air-force-falcons,3
mississippi-state-bulldogs,3
uab-blazers,2
northwestern-wildcats,1
