Teams,Borda Points
clemson-tigers,1523
alabama-crimson-tide,1458
oklahoma-sooners,1368
georgia-bulldogs,1320
florida-gators,1239
lsu-tigers,1221
notre-dame-fighting-irish,1200
auburn-tigers,1037
texas-longhorns,1037
texas-am-aggies,972
north-carolina-tar-heels,883
miami-fl-hurricanes,816
ucf-knights,771
cincinnati-bearcats,720
oklahoma-state-cowboys,694
tennessee-volunteers,531
memphis-tigers,513
byu-cougars,410
louisiana-lafayette-ragin-cajuns,378
virginia-tech-hokies,352
pittsburgh-panthers,321
army-west-point-black-knights,304
kentucky-wildcats,233
louisville-cardinals,120
marshall-thundering-herd,116
west-virginia-mountaineers,61
southern-methodist-mustangs,60
tcu-horned-frogs,33
virginia-cavaliers,32
boston-college-eagles,25
arkansas-state-red-wolves,20
mississippi-state-bulldogs,7
uab-blazers,6
texas-tech-red-raiders,5
ole-miss-rebels,4
appalachian-state-mountaineers,3
coastal-carolina-chanticleers,2
utsa-roadrunners,2
troy-trojans,1
