Teams,Borda Points
clemson-tigers,1523
alabama-crimson-tide,1458
oklahoma-sooners,1368
georgia-bulldogs,1320
florida-gators,1239
lsu-tigers,1221
notre-dame-fighting-irish,1200
auburn-tigers,1037
texas-longhorns,1037
texas-am-aggies,972
north-carolina-tar-heels,883
miami-fl-hurricanes,816
ucf-knights,771
cincinnati-bearcats,721
oklahoma-state-cowboys,694
tennessee-volunteers,530
memphis-tigers,511
byu-cougars,411
louisiana-lafayette-ragin-cajuns,381
virginia-tech-hokies,353
pittsburgh-panthers,318
army-west-point-black-knights,303
kentucky-wildcats,241
louisville-cardinals,120
baylor-bears,93
west-virginia-mountaineers,63
southern-methodist-mustangs,62
tcu-horned-frogs,31
virginia-cavaliers,30
boston-college-eagles,26
arkansas-state-red-wolves,23
mississippi-state-bulldogs,6
uab-blazers,5
texas-tech-red-raiders,5
ole-miss-rebels,4
appalachian-state-mountaineers,4
utsa-roadrunners,3
troy-trojans,2
coastal-carolina-chanticleers,1
