Teams,Borda Points
clemson-tigers,1546
alabama-crimson-tide,1463
georgia-bulldogs,1430
notre-dame-fighting-irish,1317
north-carolina-tar-heels,1190
ohio-state-buckeyes,1152
oklahoma-state-cowboys,1070
cincinnati-bearcats,973
penn-state-nittany-lions,970
florida-gators,904
texas-am-aggies,884
oregon-ducks,817
miami-fl-hurricanes,795
byu-cougars,713
auburn-tigers,711
wisconsin-badgers,638
southern-methodist-mustangs,536
tennessee-volunteers,485
michigan-wolverines,430
louisiana-lafayette-ragin-cajuns,366
kansas-state-wildcats,336
virginia-tech-hokies,232
minnesota-golden-gophers,197
usc-trojans,137
marshall-thundering-herd,127
north-carolina-state-wolfpack,104
oklahoma-sooners,92
ucf-knights,70
tulsa-golden-hurricane,70
boston-college-eagles,53
coastal-carolina-chanticleers,50
uab-blazers,32
iowa-hawkeyes,32
utah-utes,31
west-virginia-mountaineers,30
army-west-point-black-knights,25
air-force-falcons,14
memphis-tigers,13
liberty-flames,9
texas-longhorns,7
ole-miss-rebels,7
lsu-tigers,6
houston-cougars,6
arizona-state-sun-devils,6
washington-huskies,4
missouri-tigers,3
louisiana-tech-bulldogs,3
virginia-cavaliers,3
indiana-hoosiers,2
tcu-horned-frogs,2
