Teams,Borda Points
clemson-tigers,1546
alabama-crimson-tide,1463
georgia-bulldogs,1430
notre-dame-fighting-irish,1317
north-carolina-tar-heels,1190
ohio-state-buckeyes,1152
oklahoma-state-cowboys,1069
cincinnati-bearcats,971
penn-state-nittany-lions,970
florida-gators,904
texas-am-aggies,883
oregon-ducks,817
miami-fl-hurricanes,789
byu-cougars,708
auburn-tigers,702
wisconsin-badgers,633
southern-methodist-mustangs,525
tennessee-volunteers,464
michigan-wolverines,418
iowa-state-cyclones,405
louisiana-lafayette-ragin-cajuns,344
kansas-state-wildcats,302
virginia-tech-hokies,199
minnesota-golden-gophers,179
usc-trojans,125
marshall-thundering-herd,105
north-carolina-state-wolfpack,86
oklahoma-sooners,72
tulsa-golden-hurricane,61
ucf-knights,58
boston-college-eagles,43
coastal-carolina-chanticleers,39
uab-blazers,29
iowa-hawkeyes,29
west-virginia-mountaineers,25
army-west-point-black-knights,20
memphis-tigers,12
air-force-falcons,11
liberty-flames,8
arizona-state-sun-devils,7
ole-miss-rebels,6
texas-longhorns,5
lsu-tigers,5
houston-cougars,5
washington-huskies,5
missouri-tigers,2
louisiana-tech-bulldogs,2
virginia-cavaliers,2
indiana-hoosiers,1
tcu-horned-frogs,1
