Teams,Borda Points
clemson-tigers,1542
alabama-crimson-tide,1494
notre-dame-fighting-irish,1337
georgia-bulldogs,1300
ohio-state-buckeyes,1223
oklahoma-state-cowboys,1137
texas-am-aggies,1054
penn-state-nittany-lions,1033
cincinnati-bearcats,1029
florida-gators,942
miami-fl-hurricanes,887
byu-cougars,876
oregon-ducks,841
wisconsin-badgers,678
north-carolina-tar-heels,677
southern-methodist-mustangs,640
iowa-state-cyclones,512
michigan-wolverines,489
virginia-tech-hokies,414
kansas-state-wildcats,399
minnesota-golden-gophers,236
marshall-thundering-herd,233
north-carolina-state-wolfpack,204
usc-trojans,194
coastal-carolina-chanticleers,191
memphis-tigers,81
tulsa-golden-hurricane,59
west-virginia-mountaineers,58
auburn-tigers,52
louisiana-lafayette-ragin-cajuns,43
iowa-hawkeyes,42
liberty-flames,37
utah-utes,36
army-west-point-black-knights,32
uab-blazers,30
arkansas-razorbacks,17
air-force-falcons,14
kentucky-wildcats,14
tennessee-volunteers,13
south-carolina-gamecocks,9
arizona-state-sun-devils,9
virginia-cavaliers,9
washington-huskies,8
indiana-hoosiers,5
texas-longhorns,2
