Teams,Borda Points
clemson-tigers,1539
alabama-crimson-tide,1494
ohio-state-buckeyes,1402
notre-dame-fighting-irish,1353
georgia-bulldogs,1292
oklahoma-state-cowboys,1201
cincinnati-bearcats,1100
texas-am-aggies,1094
wisconsin-badgers,950
florida-gators,933
byu-cougars,906
miami-fl-hurricanes,888
michigan-wolverines,839
oregon-ducks,784
north-carolina-tar-heels,758
kansas-state-wildcats,562
indiana-hoosiers,468
penn-state-nittany-lions,443
marshall-thundering-herd,379
coastal-carolina-chanticleers,284
usc-trojans,244
southern-methodist-mustangs,210
iowa-state-cyclones,207
oklahoma-sooners,159
boise-state-broncos,117
memphis-tigers,107
liberty-flames,87
tulsa-golden-hurricane,81
louisiana-lafayette-ragin-cajuns,53
auburn-tigers,42
minnesota-golden-gophers,40
utah-utes,37
northwestern-wildcats,20
arkansas-razorbacks,15
washington-huskies,15
purdue-boilermakers,8
appalachian-state-mountaineers,7
arizona-state-sun-devils,7
california-golden-bears,4
boston-college-eagles,3
texas-longhorns,2
san-diego-state-aztecs,1
