Teams,Borda Points
georgia-bulldogs,1575
cincinnati-bearcats,1455
alabama-crimson-tide,1413
oklahoma-sooners,1382
michigan-state-spartans,1340
ohio-state-buckeyes,1296
oregon-ducks,1233
notre-dame-fighting-irish,1067
michigan-wolverines,1048
wake-forest-demon-deacons,1025
oklahoma-state-cowboys,915
auburn-tigers,853
texas-am-aggies,847
baylor-bears,833
ole-miss-rebels,678
utsa-roadrunners,462
byu-cougars,451
kentucky-wildcats,410
houston-cougars,343
iowa-hawkeyes,343
coastal-carolina-chanticleers,241
penn-state-nittany-lions,182
southern-methodist-mustangs,180
louisiana-lafayette-ragin-cajuns,163
fresno-state-bulldogs,152
pittsburgh-panthers,118
north-carolina-state-wolfpack,108
wisconsin-badgers,92
mississippi-state-bulldogs,82
arkansas-razorbacks,73
minnesota-golden-gophers,53
appalachian-state-mountaineers,24
utah-utes,12
iowa-state-cyclones,9
nevada-wolf-pack,2
