Teams,Borda Points
alabama-crimson-tide,1535
michigan-wolverines,1480
georgia-bulldogs,1408
cincinnati-bearcats,1404
notre-dame-fighting-irish,1280
baylor-bears,1228
ohio-state-buckeyes,1177
ole-miss-rebels,1101
oklahoma-state-cowboys,1060
utah-utes,929
michigan-state-spartans,895
byu-cougars,866
pittsburgh-panthers,838
oklahoma-sooners,807
oregon-ducks,594
louisiana-lafayette-ragin-cajuns,490
iowa-hawkeyes,446
north-carolina-state-wolfpack,404
clemson-tigers,395
wake-forest-demon-deacons,393
houston-cougars,358
arkansas-razorbacks,279
texas-am-aggies,171
utsa-roadrunners,146
kentucky-wildcats,129
utah-state-aggies,109
wisconsin-badgers,66
san-diego-state-aztecs,63
minnesota-golden-gophers,38
purdue-boilermakers,36
appalachian-state-mountaineers,9
army-west-point-black-knights,7
mississippi-state-bulldogs,4
penn-state-nittany-lions,4
