Teams,Borda Points
georgia-bulldogs,1525
alabama-crimson-tide,1464
michigan-wolverines,1361
cincinnati-bearcats,1349
baylor-bears,1259
ohio-state-buckeyes,1247
oklahoma-state-cowboys,1177
notre-dame-fighting-irish,1039
michigan-state-spartans,1026
oklahoma-sooners,966
ole-miss-rebels,926
utah-utes,851
pittsburgh-panthers,741
clemson-tigers,538
wake-forest-demon-deacons,533
louisiana-lafayette-ragin-cajuns,517
houston-cougars,513
kentucky-wildcats,446
byu-cougars,435
north-carolina-state-wolfpack,382
arkansas-razorbacks,371
oregon-ducks,364
iowa-hawkeyes,171
utah-state-aggies,163
san-diego-state-aztecs,137
texas-am-aggies,115
wisconsin-badgers,97
minnesota-golden-gophers,47
purdue-boilermakers,44
utsa-roadrunners,9
army-west-point-black-knights,6
coastal-carolina-chanticleers,2
fresno-state-bulldogs,2
air-force-falcons,1
