Teams,Borda Points
alabama-crimson-tide,1571
georgia-bulldogs,1507
ohio-state-buckeyes,1437
oklahoma-sooners,1374
texas-am-aggies,1288
clemson-tigers,1231
cincinnati-bearcats,1136
notre-dame-fighting-irish,1070
iowa-state-cyclones,1045
iowa-hawkeyes,942
penn-state-nittany-lions,908
oregon-ducks,883
florida-gators,842
usc-trojans,789
texas-longhorns,683
ucla-bruins,668
coastal-carolina-chanticleers,386
wisconsin-badgers,378
virginia-tech-hokies,360
ole-miss-rebels,335
utah-utes,334
miami-fl-hurricanes,230
arizona-state-sun-devils,229
north-carolina-tar-heels,201
auburn-tigers,83
tcu-horned-frogs,82
north-carolina-state-wolfpack,69
ucf-knights,62
lsu-tigers,57
liberty-flames,57
michigan-wolverines,52
oklahoma-state-cowboys,39
indiana-hoosiers,37
michigan-state-spartans,29
kansas-state-wildcats,13
louisiana-lafayette-ragin-cajuns,12
byu-cougars,11
ball-state-cardinals,8
boston-college-eagles,8
maryland-terrapins,6
uab-blazers,5
florida-state-seminoles,4
kentucky-wildcats,3
texas-tech-red-raiders,2
army-west-point-black-knights,2
appalachian-state-mountaineers,1
