Teams,Borda Points
alabama-crimson-tide,1572
georgia-bulldogs,1514
oklahoma-sooners,1402
oregon-ducks,1355
iowa-hawkeyes,1263
clemson-tigers,1246
texas-am-aggies,1206
cincinnati-bearcats,1150
ohio-state-buckeyes,1031
penn-state-nittany-lions,1005
florida-gators,939
notre-dame-fighting-irish,933
ucla-bruins,816
virginia-tech-hokies,618
iowa-state-cyclones,615
ole-miss-rebels,578
wisconsin-badgers,528
arizona-state-sun-devils,393
arkansas-razorbacks,309
north-carolina-tar-heels,306
auburn-tigers,269
byu-cougars,247
miami-fl-hurricanes,201
michigan-wolverines,194
ucf-knights,133
tcu-horned-frogs,125
liberty-flames,62
michigan-state-spartans,52
usc-trojans,48
indiana-hoosiers,42
lsu-tigers,39
kansas-state-wildcats,38
nevada-wolf-pack,32
oklahoma-state-cowboys,30
texas-longhorns,29
kentucky-wildcats,19
maryland-terrapins,17
pittsburgh-panthers,16
stanford-cardinal,12
utah-utes,12
boston-college-eagles,8
fresno-state-bulldogs,4
toledo-rockets,3
texas-tech-red-raiders,2
army-west-point-black-knights,2
