Teams,Borda Points
alabama-crimson-tide,1546
georgia-bulldogs,1492
oregon-ducks,1411
penn-state-nittany-lions,1283
iowa-hawkeyes,1277
oklahoma-sooners,1212
cincinnati-bearcats,1154
arkansas-razorbacks,1094
notre-dame-fighting-irish,1076
florida-gators,1019
ohio-state-buckeyes,1005
ole-miss-rebels,852
byu-cougars,748
michigan-wolverines,677
texas-am-aggies,652
coastal-carolina-chanticleers,614
michigan-state-spartans,581
fresno-state-bulldogs,416
oklahoma-state-cowboys,343
ucla-bruins,318
baylor-bears,237
auburn-tigers,201
north-carolina-state-wolfpack,149
wake-forest-demon-deacons,144
clemson-tigers,141
texas-longhorns,134
maryland-terrapins,94
san-diego-state-aztecs,60
southern-methodist-mustangs,45
kentucky-wildcats,27
lsu-tigers,25
iowa-state-cyclones,25
arizona-state-sun-devils,24
virginia-tech-hokies,22
wisconsin-badgers,13
rutgers-scarlet-knights,6
kansas-state-wildcats,5
oregon-state-beavers,4
utsa-roadrunners,4
louisville-cardinals,3
north-carolina-tar-heels,1
