Teams,Borda Points
georgia-bulldogs,1550
iowa-hawkeyes,1476
cincinnati-bearcats,1407
oklahoma-sooners,1336
alabama-crimson-tide,1286
ohio-state-buckeyes,1157
penn-state-nittany-lions,1150
michigan-wolverines,1141
oregon-ducks,1063
michigan-state-spartans,1001
kentucky-wildcats,932
oklahoma-state-cowboys,847
notre-dame-fighting-irish,769
coastal-carolina-chanticleers,745
wake-forest-demon-deacons,581
arkansas-razorbacks,530
arizona-state-sun-devils,485
byu-cougars,480
florida-gators,450
texas-am-aggies,400
north-carolina-state-wolfpack,315
southern-methodist-mustangs,282
san-diego-state-aztecs,223
auburn-tigers,131
texas-longhorns,131
baylor-bears,82
clemson-tigers,81
utsa-roadrunners,36
mississippi-state-bulldogs,9
kansas-state-wildcats,4
appalachian-state-mountaineers,3
air-force-falcons,3
pittsburgh-panthers,2
