Teams,Borda Points
georgia-bulldogs,1574
ohio-state-buckeyes,1501
michigan-wolverines,1453
tcu-horned-frogs,1374
tennessee-volunteers,1341
lsu-tigers,1219
usc-trojans,1153
alabama-crimson-tide,1141
clemson-tigers,1059
utah-utes,980
penn-state-nittany-lions,909
oregon-ducks,892
ole-miss-rebels,837
washington-huskies,746
ucla-bruins,703
ucf-knights,597
notre-dame-fighting-irish,549
kansas-state-wildcats,528
florida-state-seminoles,447
tulane-green-wave,329
cincinnati-bearcats,293
coastal-carolina-chanticleers,183
oklahoma-state-cowboys,114
oregon-state-beavers,109
north-carolina-state-wolfpack,105
texas-longhorns,78
utsa-roadrunners,71
troy-trojans,36
duke-blue-devils,26
liberty-flames,18
illinois-fighting-illini,16
minnesota-golden-gophers,12
florida-gators,9
boise-state-broncos,8
south-alabama-jaguars,2
