Teams,Borda Points
georgia-bulldogs,1574
ohio-state-buckeyes,1507
michigan-wolverines,1446
tcu-horned-frogs,1395
usc-trojans,1293
lsu-tigers,1241
clemson-tigers,1152
alabama-crimson-tide,1131
tennessee-volunteers,1059
oregon-ducks,1009
penn-state-nittany-lions,994
washington-huskies,880
notre-dame-fighting-irish,728
utah-utes,726
kansas-state-wildcats,708
ucla-bruins,595
north-carolina-tar-heels,505
tulane-green-wave,487
ole-miss-rebels,441
cincinnati-bearcats,404
oregon-state-beavers,329
coastal-carolina-chanticleers,231
texas-longhorns,161
ucf-knights,115
utsa-roadrunners,115
south-carolina-gamecocks,59
troy-trojans,53
boise-state-broncos,23
illinois-fighting-illini,15
louisville-cardinals,9
iowa-hawkeyes,7
south-alabama-jaguars,5
mississippi-state-bulldogs,4
arkansas-razorbacks,3
oklahoma-state-cowboys,3
purdue-boilermakers,3
fresno-state-bulldogs,2
