Teams,Borda Points
georgia-bulldogs,1570
michigan-wolverines,1516
tcu-horned-frogs,1449
usc-trojans,1382
ohio-state-buckeyes,1313
alabama-crimson-tide,1243
tennessee-volunteers,1195
penn-state-nittany-lions,1131
washington-huskies,1048
clemson-tigers,937
lsu-tigers,881
utah-utes,855
kansas-state-wildcats,828
florida-state-seminoles,749
oregon-ducks,740
ucla-bruins,655
tulane-green-wave,596
notre-dame-fighting-irish,436
south-carolina-gamecocks,412
texas-longhorns,368
ucf-knights,216
utsa-roadrunners,188
north-carolina-tar-heels,146
mississippi-state-bulldogs,129
troy-trojans,107
north-carolina-state-wolfpack,81
cincinnati-bearcats,59
boise-state-broncos,52
purdue-boilermakers,35
ole-miss-rebels,31
south-alabama-jaguars,16
illinois-fighting-illini,15
pittsburgh-panthers,7
james-madison-dukes,7
coastal-carolina-chanticleers,7
fresno-state-bulldogs,6
ohio-bobcats,4
minnesota-golden-gophers,2
