Teams,Borda Points
georgia-bulldogs,1570
michigan-wolverines,1516
tcu-horned-frogs,1449
usc-trojans,1382
ohio-state-buckeyes,1313
alabama-crimson-tide,1243
tennessee-volunteers,1195
penn-state-nittany-lions,1131
washington-huskies,1048
clemson-tigers,928
lsu-tigers,875
utah-utes,849
kansas-state-wildcats,815
florida-state-seminoles,730
oregon-ducks,702
oregon-state-beavers,663
ucla-bruins,621
tulane-green-wave,552
notre-dame-fighting-irish,388
south-carolina-gamecocks,365
texas-longhorns,323
ucf-knights,184
north-carolina-tar-heels,125
mississippi-state-bulldogs,104
troy-trojans,92
north-carolina-state-wolfpack,67
cincinnati-bearcats,47
boise-state-broncos,46
purdue-boilermakers,30
ole-miss-rebels,23
south-alabama-jaguars,14
illinois-fighting-illini,11
james-madison-dukes,7
fresno-state-bulldogs,6
coastal-carolina-chanticleers,6
pittsburgh-panthers,5
ohio-bobcats,4
minnesota-golden-gophers,2
