Teams,Borda Points
georgia-bulldogs,1574
michigan-wolverines,1513
tcu-horned-frogs,1430
ohio-state-buckeyes,1398
alabama-crimson-tide,1285
tennessee-volunteers,1233
utah-utes,1110
usc-trojans,1068
penn-state-nittany-lions,1063
clemson-tigers,1042
kansas-state-wildcats,1032
washington-huskies,933
florida-state-seminoles,708
tulane-green-wave,681
oregon-ducks,670
lsu-tigers,660
oregon-state-beavers,644
ucla-bruins,570
notre-dame-fighting-irish,394
south-carolina-gamecocks,382
texas-longhorns,305
utsa-roadrunners,227
troy-trojans,159
mississippi-state-bulldogs,119
north-carolina-state-wolfpack,59
north-carolina-tar-heels,39
ucf-knights,36
cincinnati-bearcats,32
ole-miss-rebels,27
fresno-state-bulldogs,25
purdue-boilermakers,17
south-alabama-jaguars,17
illinois-fighting-illini,11
boise-state-broncos,6
pittsburgh-panthers,4
james-madison-dukes,1
