Teams,Borda Points
georgia-bulldogs,1575
tcu-horned-frogs,1484
michigan-wolverines,1438
ohio-state-buckeyes,1394
alabama-crimson-tide,1303
tennessee-volunteers,1294
penn-state-nittany-lions,1200
washington-huskies,1097
tulane-green-wave,1025
utah-utes,876
florida-state-seminoles,814
usc-trojans,795
clemson-tigers,791
kansas-state-wildcats,784
oregon-ducks,758
lsu-tigers,757
oregon-state-beavers,742
notre-dame-fighting-irish,535
troy-trojans,324
mississippi-state-bulldogs,320
ucla-bruins,249
pittsburgh-panthers,235
south-carolina-gamecocks,182
fresno-state-bulldogs,169
texas-longhorns,97
utsa-roadrunners,47
air-force-falcons,43
boise-state-broncos,39
minnesota-golden-gophers,39
texas-tech-red-raiders,20
north-carolina-tar-heels,8
north-carolina-state-wolfpack,6
iowa-hawkeyes,4
purdue-boilermakers,3
louisville-cardinals,3
marshall-thundering-herd,2
maryland-terrapins,2
cincinnati-bearcats,2
illinois-fighting-illini,1
