Teams,Borda Points
alabama-crimson-tide,1566
ohio-state-buckeyes,1506
georgia-bulldogs,1455
clemson-tigers,1292
notre-dame-fighting-irish,1242
texas-am-aggies,1213
utah-utes,1209
michigan-wolverines,1203
oklahoma-sooners,961
baylor-bears,889
oregon-ducks,838
oklahoma-state-cowboys,820
north-carolina-state-wolfpack,762
usc-trojans,726
michigan-state-spartans,643
miami-fl-hurricanes,492
wisconsin-badgers,389
arkansas-razorbacks,367
kentucky-wildcats,354
ole-miss-rebels,340
wake-forest-demon-deacons,314
houston-cougars,284
cincinnati-bearcats,283
byu-cougars,255
tennessee-volunteers,200
iowa-hawkeyes,183
texas-longhorns,176
penn-state-nittany-lions,172
lsu-tigers,60
fresno-state-bulldogs,37
minnesota-golden-gophers,36
ucf-knights,32
purdue-boilermakers,19
mississippi-state-bulldogs,18
kansas-state-wildcats,15
auburn-tigers,15
florida-gators,15
north-carolina-tar-heels,10
air-force-falcons,6
boise-state-broncos,6
appalachian-state-mountaineers,6
ucla-bruins,4
utah-state-aggies,4
nebraska-cornhuskers,2
south-carolina-gamecocks,2
san-diego-state-aztecs,2
