Teams,Borda Points
alabama-crimson-tide,1552
georgia-bulldogs,1511
ohio-state-buckeyes,1471
michigan-wolverines,1300
clemson-tigers,1280
texas-am-aggies,1241
oklahoma-sooners,1131
notre-dame-fighting-irish,1085
baylor-bears,1059
usc-trojans,902
oklahoma-state-cowboys,822
florida-gators,770
utah-utes,723
michigan-state-spartans,699
arkansas-razorbacks,684
miami-fl-hurricanes,684
pittsburgh-panthers,547
north-carolina-state-wolfpack,522
wisconsin-badgers,489
kentucky-wildcats,387
ole-miss-rebels,275
wake-forest-demon-deacons,257
tennessee-volunteers,210
houston-cougars,160
oregon-ducks,140
penn-state-nittany-lions,130
texas-longhorns,129
cincinnati-bearcats,70
florida-state-seminoles,44
fresno-state-bulldogs,26
minnesota-golden-gophers,25
ucf-knights,25
kansas-state-wildcats,20
auburn-tigers,15
mississippi-state-bulldogs,12
air-force-falcons,10
oregon-state-beavers,6
north-carolina-tar-heels,5
ucla-bruins,2
south-carolina-gamecocks,2
purdue-boilermakers,1
arizona-wildcats,1
