Teams,Borda Points
georgia-bulldogs,1565
alabama-crimson-tide,1487
ohio-state-buckeyes,1483
michigan-wolverines,1354
clemson-tigers,1311
usc-trojans,1236
kentucky-wildcats,1127
tennessee-volunteers,1119
oklahoma-state-cowboys,1082
north-carolina-state-wolfpack,921
penn-state-nittany-lions,877
utah-utes,764
oregon-ducks,727
ole-miss-rebels,693
washington-huskies,660
baylor-bears,551
texas-am-aggies,545
oklahoma-sooners,531
byu-cougars,484
arkansas-razorbacks,459
minnesota-golden-gophers,291
wake-forest-demon-deacons,269
florida-state-seminoles,249
pittsburgh-panthers,213
kansas-state-wildcats,168
kansas-jayhawks,128
cincinnati-bearcats,61
washington-state-cougars,31
syracuse-orange,23
oregon-state-beavers,17
texas-tech-red-raiders,12
north-carolina-tar-heels,9
lsu-tigers,7
james-madison-dukes,4
tulane-green-wave,3
ucla-bruins,3
tcu-horned-frogs,1
