Teams,Borda Points
georgia-bulldogs,1565
alabama-crimson-tide,1487
ohio-state-buckeyes,1483
michigan-wolverines,1354
clemson-tigers,1315
usc-trojans,1247
tennessee-volunteers,1151
oklahoma-state-cowboys,1118
north-carolina-state-wolfpack,977
penn-state-nittany-lions,931
utah-utes,818
oregon-ducks,787
ole-miss-rebels,751
washington-huskies,717
baylor-bears,608
texas-am-aggies,603
oklahoma-sooners,590
byu-cougars,544
arkansas-razorbacks,518
minnesota-golden-gophers,332
wake-forest-demon-deacons,313
florida-state-seminoles,296
pittsburgh-panthers,253
kansas-state-wildcats,204
kansas-jayhawks,168
cincinnati-bearcats,76
florida-gators,66
washington-state-cougars,35
syracuse-orange,32
oregon-state-beavers,20
texas-tech-red-raiders,17
north-carolina-tar-heels,10
james-madison-dukes,8
lsu-tigers,8
tulane-green-wave,4
ucla-bruins,4
tcu-horned-frogs,2
