Teams,Borda Points
alabama-crimson-tide,1523
georgia-bulldogs,1521
ohio-state-buckeyes,1488
michigan-wolverines,1348
clemson-tigers,1345
usc-trojans,1233
oklahoma-state-cowboys,1182
tennessee-volunteers,1129
ole-miss-rebels,1068
penn-state-nittany-lions,962
utah-utes,889
oregon-ducks,875
kentucky-wildcats,835
north-carolina-state-wolfpack,706
wake-forest-demon-deacons,649
byu-cougars,622
tcu-horned-frogs,540
kansas-jayhawks,509
kansas-state-wildcats,454
washington-huskies,221
syracuse-orange,214
mississippi-state-bulldogs,204
cincinnati-bearcats,154
lsu-tigers,135
washington-state-cougars,113
baylor-bears,104
florida-state-seminoles,96
arkansas-razorbacks,82
james-madison-dukes,61
florida-gators,39
maryland-terrapins,31
coastal-carolina-chanticleers,24
minnesota-golden-gophers,20
tulane-green-wave,13
illinois-fighting-illini,9
north-carolina-tar-heels,7
texas-am-aggies,4
purdue-boilermakers,3
oklahoma-sooners,2
