Teams,Borda Points
georgia-bulldogs,1535
ohio-state-buckeyes,1507
alabama-crimson-tide,1489
clemson-tigers,1348
michigan-wolverines,1319
tennessee-volunteers,1232
usc-trojans,1214
oklahoma-state-cowboys,1150
ole-miss-rebels,1061
penn-state-nittany-lions,974
ucla-bruins,907
oregon-ducks,893
tcu-horned-frogs,819
wake-forest-demon-deacons,748
north-carolina-state-wolfpack,747
mississippi-state-bulldogs,589
kansas-state-wildcats,559
syracuse-orange,393
kansas-jayhawks,334
utah-utes,331
cincinnati-bearcats,259
kentucky-wildcats,151
texas-longhorns,151
illinois-fighting-illini,118
james-madison-dukes,107
north-carolina-tar-heels,98
baylor-bears,91
coastal-carolina-chanticleers,62
byu-cougars,61
notre-dame-fighting-irish,59
florida-gators,58
tulane-green-wave,44
florida-state-seminoles,18
south-carolina-gamecocks,12
washington-state-cougars,10
minnesota-golden-gophers,6
maryland-terrapins,5
lsu-tigers,4
san-jose-state-spartans,1
