Teams,Borda Points
georgia-bulldogs,1558
michigan-wolverines,1485
ohio-state-buckeyes,1453
florida-state-seminoles,1411
washington-huskies,1333
oregon-ducks,1240
texas-longhorns,1190
alabama-crimson-tide,1143
penn-state-nittany-lions,1075
ole-miss-rebels,1027
louisville-cardinals,926
oregon-state-beavers,775
utah-utes,736
tennessee-volunteers,707
oklahoma-state-cowboys,665
missouri-tigers,650
oklahoma-sooners,552
lsu-tigers,546
kansas-jayhawks,505
tulane-green-wave,371
notre-dame-fighting-irish,295
arizona-wildcats,199
liberty-flames,111
north-carolina-tar-heels,108
fresno-state-bulldogs,96
kansas-state-wildcats,90
usc-trojans,54
toledo-rockets,39
air-force-falcons,34
ucla-bruins,13
iowa-hawkeyes,8
southern-methodist-mustangs,5
west-virginia-mountaineers,5
duke-blue-devils,4
clemson-tigers,2
north-carolina-state-wolfpack,2
texas-am-aggies,1
