Teams,Borda Points
georgia-bulldogs,1549
ohio-state-buckeyes,1447
michigan-wolverines,1440
washington-huskies,1367
florida-state-seminoles,1324
oregon-ducks,1219
texas-longhorns,1180
alabama-crimson-tide,1138
louisville-cardinals,1017
missouri-tigers,964
penn-state-nittany-lions,895
ole-miss-rebels,878
oklahoma-sooners,766
lsu-tigers,749
oregon-state-beavers,718
arizona-wildcats,630
notre-dame-fighting-irish,525
tulane-green-wave,519
iowa-hawkeyes,370
oklahoma-state-cowboys,362
liberty-flames,273
toledo-rockets,159
james-madison-dukes,100
north-carolina-state-wolfpack,91
utah-utes,83
unlv-rebels,81
tennessee-volunteers,81
southern-methodist-mustangs,69
north-carolina-tar-heels,35
clemson-tigers,29
kansas-jayhawks,11
fresno-state-bulldogs,8
new-mexico-state-aggies,5
miami-oh-redhawks,2
texas-am-aggies,2
ucla-bruins,2
